Interval[sec];Transfer[MBytes];Bandwidth[Mbits/];
0.00-1.00;19.1;160;
1.00-2.00;18.5;155;
2.00-3.00;19.6;165;
3.00-4.00;19.6;165;
4.00-5.00;19.9;166;
5.00-6.00;19.4;162;
6.00-7.00;18.5;155;
7.00-8.00;17.6;148;
8.00-9.00;15.4;129;
9.00-10.00;19.2;161;
10.00-11.00;17.8;149;
11.00-12.00;16.6;139;
12.00-13.00;18.6;156;
13.00-14.00;19.0;159;
14.00-15.00;19.6;165;
15.00-16.00;18.9;158;
16.00-17.00;18.9;159;
17.00-18.00;19.1;160;
18.00-19.00;18.5;156;
19.00-20.00;19.4;162;
20.00-21.00;19.2;162;
21.00-22.00;18.9;158;
22.00-23.00;19.6;165;
23.00-24.00;19.4;162;
24.00-25.00;20.2;170;
25.00-26.00;19.6;164;
26.00-27.00;19.8;166;
27.00-28.00;19.0;160;
28.00-29.00;19.1;160;
29.00-30.00;18.8;158;
30.00-31.00;18.0;151;
31.00-32.00;18.5;155;
32.00-33.00;18.0;151;
33.00-34.00;17.2;144;
34.00-35.00;19.2;162;
35.00-36.00;18.0;151;
36.00-37.00;17.9;150;
37.00-38.00;17.8;148;
38.00-39.00;17.9;150;
39.00-40.00;19.9;167;
40.00-41.00;18.5;155;
41.00-42.00;18.5;155;
42.00-43.00;18.6;157;
43.00-44.00;18.5;155;
44.00-45.00;19.2;162;
45.00-46.00;17.6;147;
46.00-47.00;17.6;148;
47.00-48.00;17.1;143;
48.00-49.00;18.1;152;
49.00-50.00;18.4;154;
50.00-51.00;18.0;151;
51.00-52.00;17.9;149;
52.00-53.00;18.4;155;
53.00-54.01;18.8;156;
54.01-55.00;18.4;155;
55.00-56.00;17.4;145;
56.00-57.00;17.2;145;
57.00-58.00;17.6;148;
58.00-59.00;17.9;150;
59.00-60.00;19.9;167;
60.00-61.01;19.0;158;
61.01-62.00;18.0;152;
62.00-63.00;19.4;162;
63.00-64.00;19.8;166;
64.00-65.00;19.9;167;
65.00-66.00;19.4;163;
66.00-67.00;19.2;161;
67.00-68.00;19.6;164;
68.00-69.00;19.5;164;
69.00-70.00;19.8;165;
70.00-71.00;19.4;163;
71.00-72.00;18.8;157;
72.00-73.01;19.1;160;
73.01-74.00;18.5;156;
74.00-75.00;19.9;167;
75.00-76.01;19.4;162;
76.01-77.00;19.1;161;
77.00-78.00;19.1;160;
78.00-79.00;18.9;158;
79.00-80.00;18.4;155;
80.00-81.00;18.8;157;
81.00-82.01;18.5;155;
82.01-83.01;17.9;150;
83.01-84.00;19.4;163;
84.00-85.01;20.5;171;
85.01-86.01;19.2;162;
86.01-87.00;19.6;165;
87.00-88.00;18.5;155;
88.00-89.00;18.5;155;
89.00-90.01;18.6;155;
90.01-91.00;19.0;160;
91.00-92.01;19.2;161;
92.01-93.00;19.0;160;
93.00-94.00;19.6;165;
94.00-95.00;18.6;156;
95.00-96.01;18.2;153;
96.01-97.00;18.0;151;
97.00-98.00;17.8;149;
98.00-99.00;17.8;149;
99.00-100.00;18.9;159;
100.00-101.00;17.4;145;
101.00-102.00;18.4;154;
102.00-103.00;17.6;148;
103.00-104.01;18.6;156;
104.01-105.00;18.5;156;
105.00-106.00;18.1;152;
106.00-107.00;17.5;147;
107.00-108.00;17.5;147;
108.00-109.00;17.4;146;
109.00-110.01;19.4;162;
110.01-111.00;18.5;155;
111.00-112.01;7.38;61.7;
112.01-113.00;6.88;57.8;
113.00-114.00;18.8;157;
114.00-115.00;18.0;151;
115.00-116.00;17.1;144;
116.00-117.00;17.8;149;
117.00-118.00;17.6;148;
118.00-119.00;17.5;147;
119.00-120.00;19.2;162;
120.00-121.01;19.5;163;
121.01-122.00;18.4;155;
122.00-123.00;19.1;160;
123.00-124.00;19.0;160;
124.00-125.00;20.6;173;
125.00-126.00;19.1;161;
126.00-127.00;19.1;160;
127.00-128.00;19.6;165;
128.00-129.00;18.6;156;
129.00-130.00;20.6;174;
130.00-131.01;19.4;162;
131.01-132.01;19.8;166;
132.01-133.00;19.8;166;
133.00-134.00;19.0;160;
134.00-135.00;19.4;162;
135.00-136.00;19.4;162;
136.00-137.01;20.0;167;
137.01-138.01;19.5;164;
138.01-139.00;19.1;161;
139.00-140.00;19.1;160;
140.00-141.00;19.1;161;
141.00-142.00;19.8;166;
142.00-143.00;19.6;164;
143.00-144.01;19.6;164;
144.01-145.01;20.4;171;
145.01-146.00;19.1;161;
146.00-147.00;19.8;166;
147.00-148.00;19.1;160;
148.00-149.00;17.6;148;
149.00-150.00;20.2;169;
150.00-151.01;19.5;163;
151.01-152.00;19.1;161;
152.00-153.01;19.1;160;
153.01-154.00;19.5;164;
154.00-155.00;20.2;170;
155.00-156.00;19.2;161;
156.00-157.00;19.4;162;
157.00-158.00;19.4;163;
158.00-159.00;18.8;157;
159.00-160.00;19.8;166;
160.00-161.00;19.1;161;
161.00-162.00;18.8;157;
162.00-163.00;19.1;161;
163.00-164.00;19.2;161;
164.00-165.00;20.5;172;
165.00-166.00;19.4;163;
166.00-167.00;18.2;153;
167.00-168.00;16.9;142;
168.00-169.01;18.8;156;
169.01-170.00;18.8;159;
170.00-171.01;17.2;144;
171.01-172.01;18.2;153;
172.01-173.00;18.0;152;
173.00-174.00;18.2;153;
174.00-175.00;18.8;158;
175.00-176.00;18.4;154;
176.00-177.00;18.4;154;
177.00-178.01;16.5;138;
178.01-179.00;18.1;152;
179.00-180.01;18.2;153;
180.01-181.00;18.5;155;
181.00-182.00;18.8;157;
182.00-183.00;17.4;146;
183.00-184.00;19.2;161;
184.00-185.00;18.8;157;
185.00-186.00;18.9;159;
186.00-187.00;18.5;155;
187.00-188.00;18.5;155;
188.00-189.00;18.8;158;
189.00-190.01;18.4;153;
190.01-191.00;17.6;149;
191.00-192.00;17.4;146;
192.00-193.00;19.8;166;
193.00-194.00;19.2;162;
194.00-195.00;19.6;165;
195.00-196.00;18.2;153;
196.00-197.01;17.9;149;
197.01-198.01;18.8;158;
198.01-199.01;18.9;158;
199.01-200.00;18.8;158;
200.00-201.00;17.2;145;
201.00-202.00;16.4;138;
202.00-203.00;18.9;158;
203.00-204.00;18.2;153;
204.00-205.00;19.5;164;
205.00-206.00;19.6;165;
206.00-207.00;19.6;164;
207.00-208.00;18.5;155;
208.00-209.01;20.0;167;
209.01-210.01;19.8;166;
210.01-211.00;19.2;162;
211.00-212.00;18.4;154;
212.00-213.00;18.5;155;
213.00-214.00;19.1;161;
214.00-215.00;19.6;165;
215.00-216.00;19.1;160;
216.00-217.00;19.2;161;
217.00-218.00;18.9;158;
218.00-219.00;18.9;158;
219.00-220.00;18.8;158;
220.00-221.00;17.6;148;
221.00-222.00;17.5;146;
222.00-223.00;19.2;162;
223.00-224.00;18.9;158;
224.00-225.00;19.1;161;
225.00-226.00;19.5;163;
226.00-227.00;17.6;148;
227.00-228.01;18.0;150;
228.01-229.01;18.8;157;
229.01-230.00;19.8;166;
230.00-231.00;19.2;162;
231.00-232.00;18.0;151;
232.00-233.00;19.8;165;
233.00-234.00;17.6;148;
234.00-235.00;20.5;172;
235.00-236.00;19.4;163;
236.00-237.00;19.4;162;
237.00-238.00;18.9;159;
238.00-239.00;18.8;157;
239.00-240.00;19.5;164;
240.00-241.00;19.4;162;
241.00-242.00;19.5;164;
242.00-243.00;19.4;163;
243.00-244.00;19.2;161;
244.00-245.00;19.1;160;
245.00-246.00;19.4;163;
246.00-247.00;17.4;145;
247.00-248.01;17.8;148;
248.01-249.00;17.0;143;
249.00-250.01;18.2;152;
250.01-251.01;17.8;149;
251.01-252.00;18.1;152;
252.00-253.01;17.6;147;
253.01-254.00;17.1;144;
254.00-255.00;18.2;153;
255.00-256.00;18.1;152;
256.00-257.00;17.8;149;
257.00-258.01;18.8;157;
258.01-259.01;17.9;150;
259.01-260.00;19.2;163;
260.00-261.00;18.6;156;
261.00-262.00;18.6;157;
262.00-263.00;19.0;159;
263.00-264.00;18.8;157;
264.00-265.00;18.6;156;
